Id,Prediction
1,neutral
2,neutral
3,neutral
4,positive
5,neutral
6,positive
7,neutral
8,neutral
9,neutral
10,neutral
11,positive
12,neutral
13,neutral
14,positive
15,positive
16,neutral
17,neutral
18,neutral
19,neutral
20,neutral
21,negative
22,neutral
23,neutral
24,neutral
25,neutral
26,neutral
27,negative
28,neutral
29,neutral
30,positive
31,neutral
32,negative
33,neutral
34,neutral
35,negative
36,neutral
37,neutral
38,neutral
39,neutral
40,neutral
41,neutral
42,neutral
43,neutral
44,neutral
45,neutral
46,neutral
47,negative
48,neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,positive
57,negative
58,neutral
59,neutral
60,positive
61,neutral
62,positive
63,neutral
64,neutral
65,negative
66,neutral
67,neutral
68,neutral
69,negative
70,neutral
71,neutral
72,negative
73,neutral
74,neutral
75,neutral
76,neutral
77,neutral
78,neutral
79,neutral
80,neutral
81,neutral
82,neutral
83,positive
84,neutral
85,neutral
86,negative
87,negative
88,neutral
89,neutral
90,negative
91,neutral
92,neutral
93,neutral
94,neutral
95,negative
96,positive
97,neutral
98,neutral
99,neutral
100,neutral
101,neutral
102,neutral
103,negative
104,neutral
105,neutral
106,negative
107,neutral
108,neutral
109,neutral
110,neutral
111,neutral
112,neutral
113,neutral
114,neutral
115,neutral
116,neutral
117,neutral
118,neutral
119,negative
120,neutral
121,neutral
122,neutral
123,neutral
124,neutral
125,neutral
126,positive
127,neutral
128,neutral
129,neutral
130,neutral
131,neutral
132,neutral
133,neutral
134,neutral
135,positive
136,neutral
137,neutral
138,positive
139,neutral
140,neutral
141,neutral
142,neutral
143,neutral
144,negative
145,neutral
146,negative
147,neutral
148,neutral
149,neutral
150,neutral
151,neutral
152,neutral
153,neutral
154,neutral
155,neutral
156,neutral
157,negative
158,neutral
159,neutral
160,neutral
161,positive
162,neutral
163,neutral
164,neutral
165,neutral
166,neutral
167,neutral
168,neutral
169,neutral
170,neutral
171,neutral
172,neutral
173,neutral
174,negative
175,positive
176,neutral
177,neutral
178,neutral
179,neutral
180,neutral
